Line Name,Rest Value
  H2  1- 0 O( 4),    3.00387
  H2 12-10 S( 1),    2.99550
  H2 11- 9 Q( 7),    2.99406
  H2  3- 2 Q(11),    2.99387
  H2 12-10 S( 5),    2.98755
  H2  4- 3 Q( 6),    2.98412
  H2  2- 1 O( 3),    2.97406
  H2  5- 3 O(16),    2.97381
  H2  2- 1 Q(14),    2.96504
  H2  8- 7 S(13),    2.96229
  H2  3- 2 O( 2),    2.96211
  H2 12-10 S( 2),    2.95926
  H2 13-10 Q( 7),    2.95641
  H2  8- 7 S( 6),    2.95635
  H2  4- 3 Q( 5),    2.95510
  H2 12-10 S( 4),    2.95288
  H2 12-10 S( 3),    2.94452
  H2  3- 2 Q(10),    2.94401
  H2 10- 8 Q(11),    2.93602
  H2  4- 3 Q( 4),    2.93109
  H2  6- 5 S( 1),    2.92073
  H2  7- 6 S( 3),    2.92014
  H2 11- 9 O( 3),    2.91975
  H2  4- 3 Q( 3),    2.91200
  H2  8- 7 S(12),    2.91123
  H2  8- 7 S( 7),    2.91059
  H2 10- 8 O( 6),    2.90908
  H2  2- 1 Q(13),    2.90617
  H2  6- 4 O(14),    2.90557
  H2 11- 9 Q( 6),    2.90079
  H2  3- 2 Q( 9),    2.89939
  H2  4- 3 Q( 2),    2.89774
  H2 10- 7 O(15),    2.89639
  H2  4- 3 Q( 1),    2.88826
  H2  4- 2 O(17),    2.88481
  H2  8- 7 S( 8),    2.88019
  H2  8- 7 S(11),    2.87932
  H2  8- 7 S( 9),    2.86473
  H2  8- 7 S(10),    2.86425
  H2  9- 7 Q(14),    2.86044
  H2  3- 2 Q( 8),    2.85977
  H2  7- 5 O(12),    2.85856
  H2  2- 1 Q(12),    2.85250
  H2  5- 4 S( 0),    2.84904
  H2  9- 7 O( 8),    2.84606
  H2  1- 0 Q(15),    2.83551
  H2  8- 6 O(10),    2.83482
  H2 13-10 O( 5),    2.82988
  H2  7- 6 S( 4),    2.82751
  H2 11- 9 Q( 5),    2.82610
  H2 12- 9 O( 9),    2.82586
  H2  3- 2 Q( 7),    2.82498
  H2 11- 8 O(12),    2.80722
  H2 10- 8 Q(10),    2.80656
  H2  5- 3 O(15),    2.80449
  H2  2- 1 Q(11),    2.80375
  H2 11- 9 O( 2),    2.80317
  H2  1- 0 O( 3),    2.80251
  H2  6- 5 S( 2),    2.79916
  H2  3- 2 Q( 6),    2.79485
  H2  9- 6 O(17),    2.78696
  H2  2- 1 O( 2),    2.78616
  H2  1- 0 Q(14),    2.77878
  H2 13-10 Q( 6),    2.77853
  H2  3- 2 Q( 5),    2.76926
  H2 11- 9 Q( 4),    2.76719
  H2 10- 8 O( 5),    2.76601
  H2  2- 1 Q(10),    2.75967
  H2  7- 6 S( 5),    2.75120
  H2  3- 2 Q( 4),    2.74808
  H2 11- 9 S(10),    2.74718
  H2  6- 4 O(13),    2.74176
  H2  3- 2 Q( 3),    2.73124
  H2  1- 0 Q(13),    2.72661
  H2  4- 2 O(16),    2.72257
  H2 11- 9 Q( 3),    2.72206
  H2  2- 1 Q( 9),    2.72010
  H2  3- 2 Q( 2),    2.71866
  H2  5- 4 S( 1),    2.71727
  H2  9- 7 Q(13),    2.71641
  H2  3- 2 Q( 1),    2.71030
  H2 10- 8 Q( 9),    2.70016
  H2  7- 5 O(11),    2.69963
  H2  9- 7 O( 7),    2.69772
  H2  6- 5 S( 3),    2.69569
  H2 11- 9 Q( 2),    2.68930
  H2 13-10 O( 4),    2.68761
  H2  2- 1 Q( 8),    2.68486
  H2  8- 6 O( 9),    2.68134
  H2  1- 0 Q(12),    2.67877
  H2 11- 9 Q( 1),    2.66795
  H2 12- 9 Q(10),    2.66747
  H2  4- 3 S( 0),    2.66434
  H2 10- 7 O(14),    2.65525
  H2  2- 1 Q( 7),    2.65383
  H2  3- 1 O(17),    2.65196
  H2  5- 3 O(14),    2.65022
  H2 13-10 Q( 5),    2.64755
  H2  7- 6 S( 7),    2.64192
  H2 10- 8 O( 4),    2.64089
  H2  1- 0 Q(11),    2.63512
  H2 12- 9 O( 8),    2.63303
  H2 11- 9 S( 9),    2.62730
  H2  2- 1 Q( 6),    2.62690
  H2  1- 0 O( 2),    2.62688
  H2 10- 8 Q( 8),    2.61210
  H2  7- 6 S(13),    2.60941
  H2  6- 5 S( 4),    2.60835
  H2  7- 6 S( 8),    2.60682
  H2  5- 4 S( 2),    2.60398
  H2  2- 1 Q( 5),    2.60397
  H2  9- 7 Q(12),    2.59725
  H2 11- 8 O(11),    2.59609
  H2  1- 0 Q(10),    2.59551
  H2  6- 4 O(12),    2.59357
  H2  2- 1 Q( 4),    2.58496
  H2  7- 6 S(12),    2.58457
  H2  7- 6 S( 9),    2.58376
  H2  4- 2 O(15),    2.57532
  H2 13-10 O( 3),    2.57378
  H2  7- 6 S(11),    2.57251
  H2  7- 6 S(10),    2.57234
  H2  2- 1 Q( 3),    2.56983
  H2  9- 7 O( 6),    2.56613
  H2  8- 6 Q(15),    2.56426
  H2  9- 6 O(16),    2.56245
  H2  1- 0 Q( 9),    2.55985
  H2  2- 1 Q( 2),    2.55851
  H2  7- 5 O(10),    2.55672
  H2 11- 9 S( 0),    2.55487
  H2  2- 1 Q( 1),    2.55099
  H2 13-10 Q( 4),    2.55023
  H2  8- 6 O( 8),    2.54404
  H2 11- 9 S( 8),    2.54273
  H2  4- 3 S( 1),    2.54151
  H2 10- 8 Q( 7),    2.53911
  H2  6- 5 S( 5),    2.53551
  H2 10- 8 O( 3),    2.53161
  H2  1- 0 Q( 8),    2.52802
  H2  3- 1 O(16),    2.51116
  H2  5- 3 O(13),    2.50961
